idx,FLOPS,Correlation,Num_of_Operations
0,226095590942037.28,9350815,247363272704
1,224499971142841.88,9350843,247363272704
2,226559451106175.44,9351416,247363272704
3,224604339578818.0,9351444,247363272704
4,234647267958777.9,9352073,247363272704
5,232676499386241.1,9352101,247363272704
6,234746805635139.47,9352577,247363272704
7,234975371137624.44,9352605,247363272704
8,257477236011778.66,9353883,247363272704
9,255722852760748.88,9353911,247363272704
10,257460084851626.22,9354484,247363272704
11,255494381391793.84,9354512,247363272704
12,265607877832300.75,9355141,247363272704
13,263534262094652.03,9355169,247363272704
14,265689754929792.28,9355645,247363272704
15,265726573276871.47,9355673,247363272704
16,265753694088627.1,9356951,247363272704
17,263255759658844.8,9356979,247363272704
18,265516645775683.47,9357552,247363272704
19,263094481006842.12,9357580,247363272704
20,265735708089920.97,9358209,247363272704
21,263417236161886.16,9358237,247363272704
22,265498121921873.56,9358713,247363272704
23,265799383761050.2,9358741,247363272704
24,265698887211584.22,9360019,247363272704
25,263542966016660.88,9360047,247363272704
26,265489003435555.72,9360620,247363272704
27,263139260807172.38,9360648,247363272704
28,268560774646878.06,9361277,247363272704
29,266395069240693.62,9361305,247363272704
30,268495186345307.44,9361781,247363272704
31,268869031019093.2,9361809,247363272704
32,268495186345307.44,9363087,247363272704
33,266339997527860.03,9363115,247363272704
34,268532786385949.97,9363688,247363272704
35,266220753561796.28,9363716,247363272704
36,270458834409570.9,9364345,247363272704
37,268178772682034.16,9364373,247363272704
38,270099727571514.97,9364849,247363272704
39,270544025934084.2,9364877,247363272704
40,270373696520034.03,9366155,247363272704
41,268206396386374.28,9366183,247363272704
42,270354784267693.16,9366756,247363272704
43,268085475720789.9,9366784,247363272704
44,270439910245225.1,9367413,247363272704
45,267899656686626.75,9367441,247363272704
46,270354784267693.16,9367917,247363272704
47,270439910245225.1,9367945,247363272704
48,270194136882278.78,9369223,247363272704
49,267714095068848.7,9369251,247363272704
50,270326125428526.2,9369824,247363272704
51,267862813847769.8,9369852,247363272704
52,270080853625887.94,9370481,247363272704
53,267974243682603.78,9370509,247363272704
54,270364240063130.78,9370985,247363272704
55,270667175150070.78,9371013,247363272704
56,268113661415598.88,9372291,247363272704
57,266018913057832.75,9372319,247363272704
58,268355662780681.6,9372892,247363272704
59,265927684348358.94,9372920,247363272704
60,268271843654765.1,9373549,247363272704
61,266009758764086.12,9373577,247363272704
62,268616768675112.22,9374053,247363272704
63,268821987887086.72,9374081,247363272704
64,268355371651433.38,9375359,247363272704
65,266349174565368.62,9375387,247363272704
66,268663156407112.25,9375960,247363272704
67,266422326688301.0,9375988,247363272704
68,268430212653469.6,9376617,247363272704
69,266294121824503.97,9376645,247363272704
70,268430212653469.6,9377121,247363272704
71,268953223790563.7,9377149,247363272704
72,268747512254055.2,9378427,247363272704
73,266092170096222.66,9378455,247363272704
74,268523458261958.88,9379028,247363272704
75,266184084588946.03,9379056,247363272704
76,268625811566959.53,9379685,247363272704
77,266257432638923.28,9379713,247363272704
78,268523458261958.88,9380189,247363272704
79,268728534868739.1,9380217,247363272704
80,268766200298576.88,9381495,247363272704
81,266193250885111.0,9381523,247363272704
82,268737877246559.62,9382096,247363272704
83,266312470209270.44,9382124,247363272704
84,268457888183820.03,9382753,247363272704
85,266275489333943.3,9382781,247363272704
