idx,FLOPS,Correlation,Num_of_Operations
0,3030566473988.44,4485368,134217728
1,4091879150025.914,4485401,134217728
2,4284136997669.8906,4485424,134217728
3,4190113886113.8867,4485540,134217728
4,3086245441375.9805,4485969,134217728
5,3990655843962.7744,4486002,134217728
6,4185932135728.5425,4486025,134217728
7,4064124996214.9893,4486141,134217728
8,3061465933715.0156,4486626,134217728
9,4036866217516.8433,4486659,134217728
10,4120014979893.7905,4486682,134217728
11,4100003910068.4263,4486798,134217728
12,3072679837915.799,4487130,134217728
13,4084035053554.0415,4487163,134217728
14,4341929606625.2593,4487186,134217728
15,4337439503619.4414,4487302,134217728
16,3059232967884.576,4488436,134217728
17,4060190821913.6636,4488469,134217728
18,4095999999999.9995,4488492,134217728
19,4009731066829.983,4488608,134217728
20,3134683139874.349,4489037,134217728
21,4048555984555.984,4489070,134217728
22,4152647752235.389,4489093,134217728
23,4181628438794.903,4489209,134217728
24,3095355918913.309,4489694,134217728
25,4104015655577.299,4489727,134217728
26,4136267003605.658,4489750,134217728
27,4144441191909.8354,4489866,134217728
28,3146440865508.5923,4490198,134217728
29,4206924774322.969,4490231,134217728
30,4341789150195.7104,4490254,134217728
31,4346288267866.9736,4490370,134217728
32,2989458716618.0366,4491504,134217728
33,4181758723828.5146,4491537,134217728
34,4120014979893.7905,4491560,134217728
35,3994456355465.6113,4491676,134217728
36,3109122935439.783,4492105,134217728
37,4156763232060.4536,4492138,134217728
38,4136394477317.5547,4492161,134217728
39,4084035053554.0415,4492277,134217728
40,3030566473988.44,4492762,134217728
41,4017532567049.808,4492795,134217728
42,4160886877266.9497,4492818,134217728
43,4060190821913.6636,4492934,134217728
44,3013081782467.168,4493266,134217728
45,4245246963562.7534,4493299,134217728
46,4337299337534.335,4493322,134217728
47,4310692702980.4727,4493438,134217728
48,2995931428571.4287,4494572,134217728
49,4052345279429.9683,4494605,134217728
50,4148668644906.0337,4494628,134217728
51,3979415559772.296,4494744,134217728
52,3148803002932.5513,4495173,134217728
53,4092003902439.025,4495206,134217728
54,4227995841864.8604,4495229,134217728
55,3960510136032.341,4495345,134217728
56,3054846321922.797,4495830,134217728
57,4064124996214.9893,4495863,134217728
58,4206924774322.969,4495886,134217728
59,3994575238095.238,4496002,134217728
60,3093144542772.8613,4496334,134217728
61,4198371172072.946,4496367,134217728
62,4364378369589.9585,4496390,134217728
63,4240820499857.8154,4496506,134217728
64,3052553571834.7017,4497640,134217728
65,3908950605778.1924,4497673,134217728
66,4177463599863.0522,4497696,134217728
67,3956773915863.329,4497812,134217728
68,3090793966609.096,4498241,134217728
69,3960627006610.01,4498274,134217728
