idx,FLOPS,Correlation,Num_of_Operations
0,2959988708539.1675,72475,134217728
1,3698578853095.979,72508,134217728
2,3847875003583.613,72531,134217728
3,4275539245667.686,72649,134217728
4,3002297908511.352,72858,134217728
5,3761707623318.3857,72891,134217728
6,4079938231449.6763,72914,134217728
7,4185801590519.258,73030,134217728
8,3037081166700.609,73295,134217728
9,3799188405797.101,73328,134217728
10,4095999999999.9995,73351,134217728
11,4215380904522.6133,73467,134217728
12,3238844787644.788,73600,134217728
13,4275403051635.715,73633,134217728
14,4378187891440.501,73656,134217728
15,4500175289186.924,73772,134217728
16,2995864556594.7188,74667,134217728
17,3721653948535.936,74700,134217728
18,4108035259549.462,74723,134217728
19,4032863435593.8823,74839,134217728
20,3008758949987.671,75048,134217728
21,3758231680340.492,75081,134217728
22,4072016261642.5474,75104,134217728
23,4132191989162.895,75220,134217728
24,3034883617863.199,75485,134217728
25,3826919708029.1963,75518,134217728
26,4080062256809.339,75541,134217728
27,4099878669395.485,75657,134217728
28,3191936264833.885,75790,134217728
29,4258176649746.1934,75823,134217728
30,4346429015544.042,75846,134217728
31,4315127572016.461,75962,134217728
32,2974617761131.18,76855,134217728
33,3837313891986.163,76888,134217728
34,3956773915863.329,76911,134217728
35,4148668644906.0337,77027,134217728
36,2947443353756.286,77236,134217728
37,3847875003583.613,77269,134217728
38,4032863435593.8823,77292,134217728
39,4156763232060.4536,77408,134217728
40,3006669534050.179,77673,134217728
41,3837423604757.5483,77706,134217728
42,4092003902439.025,77729,134217728
43,4202709418837.6753,77845,134217728
44,3209031153616.2583,77978,134217728
45,4319432562031.3457,78011,134217728
46,4328347512012.6416,78034,134217728
47,4359983367983.3677,78150,134217728
48,2928919323513.3657,79043,134217728
49,3768467205750.2246,79076,134217728
50,4002198473282.443,79099,134217728
51,3945723424270.931,79215,134217728
52,2983080212477.4966,79424,134217728
53,3718251599855.9434,79457,134217728
54,4156891972249.7524,79480,134217728
55,4144569169960.474,79596,134217728
56,2976728869569.074,79861,134217728
57,3781952943165.4883,79894,134217728
58,4148540413562.8843,79917,134217728
59,4056264257003.838,80033,134217728
60,3221431643625.192,80166,134217728
61,4288654396728.0166,80199,134217728
62,4415056842105.264,80222,134217728
63,4271049419252.188,80338,134217728
64,3013149425287.3564,81231,134217728
65,3761707623318.3857,81264,134217728
66,3983076475650.6514,81287,134217728
67,4040633651443.538,81403,134217728
68,3037081166700.609,81612,134217728
69,3805975556500.78,81645,134217728
70,4040633651443.538,81668,134217728
71,4060190821913.6636,81784,134217728
72,3063702161656.281,82049,134217728
73,3833806392641.8916,82082,134217728
74,4161015873015.8735,82105,134217728
75,4060313649564.376,82221,134217728
76,3263970428734.7095,82354,134217728
77,4249548125633.232,82387,134217728
78,4452552016985.139,82410,134217728
79,4419709167544.784,82526,134217728
80,2924834448342.74,83419,134217728
81,3754972247090.4204,83452,134217728
82,4060313649564.376,83475,134217728
83,4091879150025.914,83591,134217728
84,3008758949987.671,83800,134217728
85,3844348179761.121,83833,134217728
86,3986862557552.3545,83856,134217728
87,4152647752235.389,83972,134217728
88,2970404514772.6016,84237,134217728
89,3761602197247.835,84270,134217728
90,4095875003814.581,84293,134217728
91,4009731066829.983,84409,134217728
92,3187085413055.351,84542,134217728
93,4337439503619.4414,84575,134217728
94,4378187891440.501,84598,134217728
95,4382762800417.973,84714,134217728
96,2989525302922.3096,85607,134217728
97,3718354609929.0786,85640,134217728
98,4076097181729.835,85663,134217728
99,4181628438794.903,85779,134217728
100,2985203354017.927,85988,134217728
101,3844348179761.121,86021,134217728
102,4075973397309.3623,86044,134217728
103,4148540413562.8843,86160,134217728
104,3037081166700.609,86425,134217728
105,3840827815138.074,86458,134217728
106,4088015594541.91,86481,134217728
107,4173436815920.3984,86597,134217728
108,3216490797546.0117,86730,134217728
