idx,pinned time (s),bytes transferred (B)
0,1243.638,13451264
1,745.161,13451264
2,565.456,13451264
3,795.21,13451264
4,654.792,13451264
5,480.324,13451264
6,521.667,13451264
7,497.298,13451264
8,536.646,13451264
9,456.71,13451264
10,583.505,13451264
11,497.221,13451264
12,531.796,13451264
13,475.011,13451264
14,599.371,13451264
15,520.845,13451264
16,523.21,13451264
17,477.415,13451264
18,524.796,13451264
19,514.761,13451264
20,563.04,13451264
21,493.605,13451264
22,574.256,13451264
23,474.872,13451264
24,548.764,13451264
25,461.848,13451264
26,566.626,13451264
27,487.268,13451264
28,584.612,13451264
29,382.048,13451264
30,572.79,13451264
31,481.992,13451264
32,541.339,13451264
33,400.963,13451264
34,512.743,13451264
35,463.668,13451264
36,535.666,13451264
37,380.886,13451264
38,532.243,13451264
39,486.123,13451264
40,534.162,13451264
41,380.15,13451264
42,523.278,13451264
43,624.483,13451264
44,456.986,13451264
45,484.501,13451264
46,520.352,13451264
47,441.311,13451264
48,468.594,13451264
49,477.621,13451264
50,532.631,13451264
51,469.015,13451264
52,544.547,13451264
53,432.48,13451264
54,530.865,13451264
55,448.521,13451264
56,494.564,13451264
57,451.968,13451264
58,532.952,13451264
59,432.886,13451264
60,451.906,13451264
61,392.823,13451264
62,493.547,13451264
63,458.938,13451264
64,561.224,13467648
65,420.533,13467648
66,522.774,13467648
67,432.816,13467648
68,509.705,13467648
69,424.746,13467648
70,524.077,13467648
71,408.348,13467648
72,496.483,13467648
73,418.89,13467648
74,491.104,13467648
75,406.337,13467648
76,494.04,13467648
77,423.136,13467648
78,517.207,13467648
79,430.408,13467648
80,501.636,13467648
81,427.529,13467648
82,487.123,13467648
83,435.421,13467648
84,510.688,13467648
85,420.8,13467648
86,500.416,13467648
87,418.315,13467648
88,509.098,13467648
89,425.929,13467648
90,503.671,13467648
91,423.121,13467648
92,498.131,13467648
93,357.45,13467648
94,489.342,13467648
95,406.588,13467648
96,510.887,13467648
97,338.3,13467648
98,476.107,13467648
99,420.662,13467648
100,522.014,13467648
101,364.961,13467648
102,505.932,13467648
103,460.982,13467648
104,518.448,13467648
105,352.572,13467648
106,477.743,13467648
107,387.905,13467648
108,454.686,13467648
109,400.472,13467648
110,449.095,13467648
111,363.918,13467648
112,428.206,13467648
113,405.153,13467648
114,464.412,13467648
115,400.142,13467648
116,502.319,13467648
117,354.628,13467648
118,498.589,13467648
119,412.935,13467648
120,480.492,13467648
121,360.17,13467648
122,478.171,13467648
123,377.16,13467648
124,409.359,13467648
125,334.384,13467648
126,479.633,13467648
127,385.248,13467648
128,526.868,13484032
129,422.472,13484032
130,535.684,13484032
131,412.163,13484032
132,490.618,13484032
133,395.539,13484032
134,545.499,13484032
135,409.671,13484032
136,526.554,13484032
137,461.238,13484032
138,507.884,13484032
139,423.721,13484032
140,492.251,13484032
141,418.009,13484032
142,502.901,13484032
143,420.13,13484032
144,511.1,13484032
145,416.183,13484032
146,520.063,13484032
147,428.962,13484032
148,486.385,13484032
149,404.287,13484032
150,476.775,13484032
151,394.466,13484032
152,493.842,13484032
153,401.227,13484032
154,490.911,13484032
155,399.608,13484032
156,507.483,13484032
157,317.898,13484032
158,478.916,13484032
159,392.615,13484032
160,507.681,13484032
161,351.079,13484032
162,465.485,13484032
163,425.869,13484032
164,472.516,13484032
165,322.918,13484032
166,469.085,13484032
167,383.441,13484032
168,565.129,13484032
169,332.294,13484032
170,537.573,13484032
171,424.306,13484032
172,408.105,13484032
173,411.035,13484032
174,511.373,13484032
175,396.665,13484032
176,427.232,13484032
177,397.774,13484032
178,483.304,13484032
179,392.415,13484032
180,492.869,13484032
181,315.434,13484032
182,478.459,13484032
183,414.186,13484032
184,491.334,13484032
185,365.061,13484032
186,496.564,13484032
187,401.015,13484032
188,497.105,13484032
189,331.72,13484032
190,447.334,13484032
191,371.529,13484032
192,523.029,13500416
193,426.582,13500416
194,487.388,13500416
195,696.246,13500416
196,506.58,13500416
197,407.263,13500416
198,486.16,13500416
199,406.809,13500416
200,488.533,13500416
201,406.935,13500416
202,519.957,13500416
203,417.415,13500416
204,543.801,13500416
205,403.946,13500416
206,515.413,13500416
207,419.51,13500416
208,508.308,13500416
209,429.63,13500416
210,511.003,13500416
211,384.469,13500416
212,484.924,13500416
213,392.61,13500416
214,594.168,13500416
215,469.343,13500416
216,487.598,13500416
217,405.295,13500416
218,508.523,13500416
219,397.047,13500416
220,446.661,13500416
221,318.893,13500416
222,512.257,13500416
223,425.186,13500416
224,486.221,13500416
225,334.067,13500416
226,495.033,13500416
227,396.011,13500416
228,475.525,13500416
229,339.87,13500416
230,484.178,13500416
231,401.668,13500416
232,512.265,13500416
233,327.609,13500416
234,504.26,13500416
235,398.092,13500416
236,435.041,13500416
237,411.867,13500416
238,441.36,13500416
239,379.648,13500416
240,421.357,13500416
241,405.743,13500416
242,484.439,13500416
243,401.342,13500416
244,485.652,13500416
245,375.613,13500416
246,480.636,13500416
247,369.888,13500416
248,487.454,13500416
249,336.518,13500416
250,478.649,13500416
251,809.028,13500416
252,406.769,13500416
253,365.204,13500416
254,462.328,13500416
255,461.232,13500416
256,534.037,13516800
257,581.725,13516800
258,469.045,13516800
259,401.51,13516800
260,489.756,13516800
261,414.389,13516800
262,485.252,13516800
263,398.243,13516800
264,505.41,13516800
265,435.522,13516800
266,472.943,13516800
267,394.122,13516800
268,519.017,13516800
269,572.552,13516800
270,483.108,13516800
271,410.218,13516800
272,564.65,13516800
273,579.34,13516800
274,487.569,13516800
275,421.929,13516800
276,509.064,13516800
277,428.084,13516800
278,500.32,13516800
279,413.053,13516800
280,550.727,13516800
281,516.232,13516800
282,437.964,13516800
283,402.649,13516800
284,482.297,13516800
285,372.309,13516800
286,510.996,13516800
287,414.048,13516800
288,506.943,13516800
289,338.385,13516800
290,490.612,13516800
291,1189.029,13516800
292,492.932,13516800
293,327.251,13516800
294,503.274,13516800
295,406.297,13516800
296,460.439,13516800
297,349.065,13516800
298,485.386,13516800
299,405.264,13516800
300,454.156,13516800
301,390.141,13516800
302,551.91,13516800
303,394.149,13516800
304,479.012,13516800
305,401.933,13516800
306,506.294,13516800
307,401.75,13516800
308,508.843,13516800
309,337.754,13516800
310,475.489,13516800
311,394.58,13516800
312,487.247,13516800
313,332.093,13516800
314,501.479,13516800
315,397.831,13516800
316,419.579,13516800
317,314.337,13516800
318,467.741,13516800
319,384.105,13516800
320,507.066,13533184
321,431.309,13533184
322,515.833,13533184
323,414.933,13533184
324,522.164,13533184
325,406.43,13533184
326,481.847,13533184
327,417.918,13533184
328,457.688,13533184
329,399.005,13533184
330,512.022,13533184
331,403.384,13533184
332,501.43,13533184
333,433.263,13533184
334,494.161,13533184
335,400.838,13533184
336,476.388,13533184
337,414.385,13533184
338,533.467,13533184
339,390.974,13533184
340,511.595,13533184
341,439.392,13533184
342,485.843,13533184
343,412.546,13533184
344,499.841,13533184
345,403.536,13533184
346,512.728,13533184
347,420.832,13533184
348,519.195,13533184
349,335.909,13533184
350,512.282,13533184
351,647.021,13533184
352,477.171,13533184
353,333.067,13533184
354,441.223,13533184
355,386.362,13533184
356,494.4,13533184
357,343.624,13533184
358,459.978,13533184
359,406.484,13533184
360,504.178,13533184
361,334.004,13533184
362,489.802,13533184
363,409.674,13533184
364,474.458,13533184
365,399.181,13533184
366,504.894,13533184
367,395.969,13533184
368,418.203,13533184
369,396.439,13533184
370,464.288,13533184
371,413.315,13533184
372,523.762,13533184
373,332.07,13533184
374,453.162,13533184
375,383.934,13533184
376,447.733,13533184
377,330.037,13533184
378,482.369,13533184
379,366.319,13533184
380,457.325,13533184
381,313.135,13533184
382,471.261,13533184
383,401.864,13533184
384,518.046,13549568
385,396.291,13549568
386,541.783,13549568
387,405.669,13549568
388,470.433,13549568
389,412.322,13549568
390,496.018,13549568
391,414.069,13549568
392,493.931,13549568
393,395.901,13549568
394,481.133,13549568
395,419.929,13549568
396,471.738,13549568
397,389.615,13549568
398,480.417,13549568
399,376.044,13549568
400,490.499,13549568
401,374.707,13549568
402,482.035,13549568
403,388.384,13549568
404,497.789,13549568
405,383.223,13549568
406,479.689,13549568
407,386.135,13549568
408,497.951,13549568
409,397.767,13549568
410,490.836,13549568
411,381.823,13549568
412,488.212,13549568
413,334.06,13549568
414,509.724,13549568
415,398.937,13549568
416,466.379,13549568
417,351.826,13549568
418,459.152,13549568
419,379.158,13549568
420,480.927,13549568
421,324.659,13549568
422,475.119,13549568
423,385.235,13549568
424,457.264,13549568
425,327.35,13549568
426,479.849,13549568
427,393.896,13549568
428,442.255,13549568
429,388.424,13549568
430,494.501,13549568
431,1702.465,13549568
432,437.463,13549568
433,385.268,13549568
434,469.359,13549568
435,384.978,13549568
436,427.915,13549568
437,325.114,13549568
438,475.914,13549568
439,381.998,13549568
440,456.713,13549568
441,363.65,13549568
442,562.354,13549568
443,387.283,13549568
444,446.258,13549568
445,377.2,13549568
446,471.091,13549568
447,374.912,13549568
448,517.23,13565952
449,415.785,13565952
450,522.948,13565952
451,379.835,13565952
452,503.33,13565952
453,388.077,13565952
454,482.805,13565952
455,408.202,13565952
456,1124.124,13565952
457,420.273,13565952
458,498.361,13565952
459,392.586,13565952
460,500.786,13565952
461,405.318,13565952
462,477.198,13565952
463,410.48,13565952
464,507.077,13565952
465,385.162,13565952
466,444.718,13565952
467,382.448,13565952
468,460.803,13565952
469,392.174,13565952
470,502.684,13565952
471,384.031,13565952
472,512.402,13565952
473,382.169,13565952
474,488.718,13565952
475,391.178,13565952
476,514.986,13565952
477,322.934,13565952
478,463.842,13565952
479,448.974,13565952
480,456.654,13565952
481,339.44,13565952
482,472.064,13565952
483,384.896,13565952
484,482.006,13565952
485,314.648,13565952
486,491.29,13565952
487,383.232,13565952
488,3593.822,13565952
489,347.496,13565952
490,453.799,13565952
491,396.25,13565952
492,411.173,13565952
493,389.639,13565952
494,482.815,13565952
495,397.48,13565952
496,434.164,13565952
497,449.462,13565952
498,460.037,13565952
499,390.048,13565952
500,506.397,13565952
501,315.632,13565952
502,460.053,13565952
503,375.437,13565952
504,437.399,13565952
505,326.838,13565952
506,482.147,13565952
507,368.71,13565952
508,451.441,13565952
509,308.098,13565952
510,477.787,13565952
511,370.197,13565952
512,545.736,13582336
513,393.368,13582336
514,530.577,13582336
515,401.089,13582336
516,2477.029,13582336
517,2141.732,13582336
518,476.735,13582336
519,470.761,13582336
520,1472.635,13582336
521,1434.701,13582336
522,1602.692,13582336
523,1582.07,13582336
524,1668.924,13582336
525,489.728,13582336
526,479.393,13582336
527,438.761,13582336
528,501.905,13582336
529,387.46,13582336
530,515.026,13582336
531,376.654,13582336
532,510.608,13582336
533,391.409,13582336
534,451.915,13582336
535,384.817,13582336
536,524.732,13582336
537,472.188,13582336
538,482.195,13582336
539,387.359,13582336
540,469.953,13582336
541,296.827,13582336
542,451.121,13582336
543,390.501,13582336
544,458.678,13582336
545,316.221,13582336
546,435.675,13582336
547,368.29,13582336
548,485.44,13582336
549,305.842,13582336
550,448.775,13582336
551,392.522,13582336
552,507.638,13582336
553,427.798,13582336
554,417.561,13582336
555,362.983,13582336
556,410.198,13582336
557,360.729,13582336
558,493.471,13582336
559,347.075,13582336
560,439.009,13582336
561,376.149,13582336
562,491.895,13582336
563,382.126,13582336
564,485.912,13582336
565,304.385,13582336
566,467.363,13582336
567,362.943,13582336
568,463.165,13582336
569,295.48,13582336
570,444.031,13582336
571,349.037,13582336
572,407.902,13582336
573,303.191,13582336
574,457.614,13582336
575,354.638,13582336
576,523.019,13598720
577,382.029,13598720
578,476.863,13598720
579,396.917,13598720
580,409.577,13598720
581,266.423,13598720
