idx,pinned time (s),bytes transferred (B)
0,6241.14,100712448
1,6345.206,100712448
2,5654.849,100712448
3,6183.423,100712448
4,5422.994,100712448
5,6074.206,100712448
6,5324.054,100712448
7,5939.079,100712448
8,5251.586,100712448
9,5915.061,100712448
10,5208.412,100712448
11,5863.569,100712448
12,5119.309,100712448
13,5741.944,100712448
14,5108.136,100712448
15,5865.245,100712448
16,5152.571,100712448
17,5794.744,100712448
18,4991.99,100712448
19,5735.966,100712448
20,5064.556,100712448
21,5842.856,100712448
22,5042.18,100712448
23,5774.419,100712448
24,5069.0,100712448
25,5743.055,100712448
26,5031.416,100712448
27,5615.801,100712448
28,4980.088,100712448
29,5826.348,100712448
30,5080.184,100712448
31,5723.466,100712448
32,4981.467,100712448
33,5841.812,100712448
34,5101.319,100712448
35,5693.874,100712448
36,5003.672,100712448
37,5866.585,100712448
38,5083.704,100712448
39,5663.281,100712448
40,4939.824,100712448
41,5871.266,100712448
42,5080.705,100712448
43,5671.374,100712448
44,4961.876,100712448
45,5815.314,100712448
46,5022.499,100712448
47,5810.274,100712448
48,4970.218,100712448
49,5924.626,100712448
50,5102.353,100712448
51,5700.173,100712448
52,4967.815,100712448
53,5856.068,100712448
54,5100.047,100712448
55,5469.883,100712448
56,4902.658,100712448
57,5935.463,100712448
58,5106.741,100712448
59,5662.165,100712448
60,4898.889,100712448
61,5880.575,100712448
62,5162.104,100712448
63,5672.004,100712448
64,5042.007,100712448
65,5897.049,100712448
66,5168.223,100712448
67,5545.483,100712448
68,4955.894,100712448
69,5952.794,100712448
70,5242.957,100712448
71,5695.378,100712448
72,4959.617,100712448
73,5976.418,100712448
74,5144.956,100712448
75,5676.072,100712448
76,4897.415,100712448
77,6139.091,100712448
78,5206.842,100712448
79,5745.106,100712448
80,4877.019,100712448
81,5965.31,100712448
82,5318.39,100712448
83,5958.81,100712448
84,5176.718,100712448
85,5895.605,100712448
86,5159.583,100712448
87,5767.531,100712448
88,5049.443,100712448
89,5885.045,100712448
90,5141.282,100712448
91,5817.837,100712448
92,5067.649,100712448
93,5905.823,100712448
94,5160.27,100712448
95,5697.416,100712448
96,4968.775,100712448
97,5995.526,100712448
98,5189.503,100712448
99,5717.238,100712448
100,4968.674,100712448
101,5753.318,100712448
102,5117.716,100712448
103,5466.921,100712448
104,4996.961,100712448
105,5577.611,100712448
106,5047.104,100712448
107,5571.439,100712448
108,5045.32,100712448
109,5937.077,100712448
110,5149.025,100712448
111,5797.894,100712448
112,5048.107,100712448
113,5908.646,100712448
114,5217.707,100712448
115,5818.223,100712448
116,5004.604,100712448
117,5760.55,100712448
118,5047.731,100712448
119,5597.457,100712448
120,5074.317,100712448
121,5796.771,100712448
122,5143.13,100712448
123,5732.304,100712448
124,4999.861,100712448
125,5941.424,100712448
126,5143.622,100712448
127,5794.87,100712448
128,4321.915,100761600
129,5105.365,100761600
130,4428.027,100761600
131,5038.646,100761600
132,4324.882,100761600
133,5200.607,100761600
134,4393.757,100761600
135,4799.431,100761600
136,4264.635,100761600
137,5051.019,100761600
138,4328.594,100761600
139,5019.941,100761600
140,4278.309,100761600
141,4983.288,100761600
142,4640.738,100761600
143,4897.385,100761600
144,4378.798,100761600
145,5140.464,100761600
146,4269.21,100761600
147,4847.889,100761600
148,4357.708,100761600
149,5168.644,100761600
150,4445.412,100761600
151,4992.539,100761600
152,4258.977,100761600
153,4999.024,100761600
154,4373.627,100761600
155,5138.205,100761600
156,4492.863,100761600
157,5122.15,100761600
158,4413.106,100761600
159,5014.198,100761600
160,4436.281,100761600
161,4965.628,100761600
162,4374.635,100761600
163,4885.924,100761600
164,4423.562,100761600
165,4885.286,100761600
166,4425.001,100761600
167,4863.451,100761600
168,4437.788,100761600
169,4851.282,100761600
170,4385.917,100761600
171,5208.661,100761600
172,4485.853,100761600
173,5097.651,100761600
174,4384.008,100761600
175,5230.293,100761600
176,4457.86,100761600
177,4846.859,100761600
178,4321.274,100761600
179,4987.45,100761600
180,4553.896,100761600
181,5134.726,100761600
182,4392.167,100761600
183,4867.348,100761600
184,4483.003,100761600
185,5323.059,100761600
186,4499.594,100761600
187,4825.743,100761600
188,4393.082,100761600
189,4941.299,100761600
190,4398.561,100761600
191,4827.213,100761600
192,4373.663,100761600
193,5261.596,100761600
194,4440.377,100761600
195,5115.299,100761600
196,4378.803,100761600
197,4986.112,100761600
198,4350.104,100761600
199,4925.63,100761600
200,4452.464,100761600
201,5280.886,100761600
202,4472.415,100761600
203,4892.966,100761600
204,4366.113,100761600
205,4976.752,100761600
206,4435.619,100761600
207,5143.656,100761600
208,4456.503,100761600
209,5209.754,100761600
210,4414.443,100761600
211,5137.23,100761600
212,4463.746,100761600
213,5160.447,100761600
214,4410.151,100761600
215,5216.243,100761600
216,4428.54,100761600
217,5084.123,100761600
218,4299.732,100761600
219,6607.262,100761600
220,4376.518,100761600
221,4909.323,100761600
222,4396.519,100761600
223,5163.206,100761600
224,4480.9,100761600
225,5163.526,100761600
226,4358.229,100761600
227,4998.412,100761600
228,4445.955,100761600
229,5577.119,100761600
230,4430.656,100761600
231,5041.477,100761600
232,4410.361,100761600
233,5217.508,100761600
234,4463.648,100761600
235,5100.094,100761600
236,4360.69,100761600
237,5247.42,100761600
238,4954.796,100761600
239,4897.282,100761600
240,4373.626,100761600
241,5212.635,100761600
242,4487.034,100761600
243,5038.373,100761600
244,4349.046,100761600
245,5190.369,100761600
246,4512.377,100761600
247,4696.239,100761600
248,4421.916,100761600
249,5251.528,100761600
250,4538.235,100761600
251,4910.966,100761600
252,4233.17,100761600
253,5285.342,100761600
254,4521.096,100761600
255,4651.502,100761600
256,4337.076,100810752
257,5406.787,100810752
258,4647.277,100810752
259,5080.802,100810752
260,4375.463,100810752
261,5322.467,100810752
262,4534.597,100810752
263,5086.168,100810752
264,4387.949,100810752
265,5339.191,100810752
266,4534.082,100810752
267,5105.982,100810752
268,4325.057,100810752
269,5297.919,100810752
270,4524.219,100810752
271,5016.735,100810752
272,4255.581,100810752
273,5291.808,100810752
274,4554.38,100810752
275,4963.864,100810752
276,4284.416,100810752
277,5244.225,100810752
278,4562.965,100810752
279,5032.498,100810752
280,4333.916,100810752
281,5312.063,100810752
282,4543.79,100810752
283,4999.031,100810752
284,4313.24,100810752
285,5189.114,100810752
286,4479.702,100810752
287,4941.142,100810752
288,4236.492,100810752
289,5080.251,100810752
290,4434.588,100810752
291,4813.802,100810752
292,4240.92,100810752
293,5048.479,100810752
294,4459.382,100810752
295,4737.926,100810752
296,4226.65,100810752
297,5094.948,100810752
298,9023.747,100810752
299,4885.05,100810752
300,4178.786,100810752
301,5113.802,100810752
302,4499.942,100810752
303,4815.324,100810752
304,4251.646,100810752
305,5131.355,100810752
306,4539.665,100810752
307,7464.107,100810752
308,4265.292,100810752
309,5082.323,100810752
310,4554.423,100810752
311,4778.592,100810752
312,4336.134,100810752
313,5015.803,100810752
314,4538.714,100810752
315,4844.858,100810752
316,7160.055,100810752
317,5124.846,100810752
318,4529.058,100810752
319,4902.102,100810752
320,4357.92,100810752
321,5139.592,100810752
322,4520.7,100810752
323,4808.082,100810752
324,4143.669,100810752
325,5088.287,100810752
326,4405.392,100810752
327,4908.853,100810752
328,4347.404,100810752
329,5105.859,100810752
330,4436.925,100810752
331,4976.069,100810752
332,4315.047,100810752
333,5082.997,100810752
334,8011.633,100810752
335,5013.802,100810752
336,4259.038,100810752
337,5123.968,100810752
338,4380.806,100810752
339,4912.113,100810752
340,4291.655,100810752
341,5118.915,100810752
342,4377.349,100810752
343,7714.325,100810752
344,4298.577,100810752
345,5171.118,100810752
346,4336.73,100810752
347,4913.043,100810752
348,4347.596,100810752
349,5172.659,100810752
350,4400.696,100810752
351,4895.714,100810752
352,4259.332,100810752
353,5080.512,100810752
354,4393.449,100810752
355,4850.021,100810752
356,4418.957,100810752
357,5146.919,100810752
358,4437.643,100810752
359,4857.771,100810752
360,4231.651,100810752
361,5102.139,100810752
362,4358.285,100810752
363,4908.125,100810752
364,4244.726,100810752
365,5065.974,100810752
366,4373.544,100810752
367,4923.772,100810752
368,4231.827,100810752
369,5060.69,100810752
370,8594.115,100810752
371,10236.576,100810752
372,15139.726,100810752
373,9056.728,100810752
374,12516.339,100810752
375,8979.582,100810752
376,14223.648,100810752
377,9500.507,100810752
378,14351.462,100810752
379,9197.74,100810752
380,12217.992,100810752
381,8922.77,100810752
382,14450.698,100810752
383,8834.422,100810752
384,4743.663,100859904
385,5266.531,100859904
386,8529.794,100859904
387,5065.467,100859904
388,4364.795,100859904
389,4949.403,100859904
390,4319.465,100859904
391,4685.627,100859904
392,4289.933,100859904
393,4752.733,100859904
394,4323.585,100859904
395,4700.118,100859904
396,4337.376,100859904
397,4982.177,100859904
398,4369.416,100859904
399,4689.716,100859904
400,4295.227,100859904
401,4852.793,100859904
402,4362.184,100859904
403,4657.885,100859904
404,4271.292,100859904
405,4820.934,100859904
406,4321.904,100859904
407,4712.657,100859904
408,4272.775,100859904
409,4819.39,100859904
410,4318.492,100859904
411,4672.181,100859904
412,4237.016,100859904
413,5051.655,100859904
414,4405.86,100859904
415,4674.709,100859904
416,4245.934,100859904
417,5082.068,100859904
418,4400.068,100859904
419,4621.428,100859904
420,4216.88,100859904
421,4838.224,100859904
422,4356.714,100859904
423,4852.865,100859904
424,4697.035,100859904
425,4876.115,100859904
426,4320.937,100859904
427,4867.983,100859904
428,4200.651,100859904
429,4866.704,100859904
430,4285.931,100859904
431,4653.824,100859904
432,4197.262,100859904
433,4770.367,100859904
434,4327.092,100859904
435,4691.773,100859904
436,4244.852,100859904
437,4839.065,100859904
438,4346.658,100859904
439,4688.754,100859904
440,4248.883,100859904
441,4804.363,100859904
442,4325.755,100859904
443,4716.71,100859904
444,4175.437,100859904
445,4964.276,100859904
446,8211.224,100859904
447,4908.149,100859904
448,4149.627,100859904
449,4788.825,100859904
450,4264.763,100859904
451,4864.609,100859904
452,4258.526,100859904
453,4661.157,100859904
454,4257.443,100859904
455,7690.575,100859904
456,4245.445,100859904
457,4723.212,100859904
458,4298.326,100859904
459,4946.099,100859904
460,4313.243,100859904
461,4678.188,100859904
462,4216.454,100859904
463,4687.858,100859904
464,5142.423,100859904
465,4957.324,100859904
466,4335.87,100859904
467,4649.777,100859904
468,4192.53,100859904
469,4762.193,100859904
470,4353.932,100859904
471,4604.144,100859904
472,4223.567,100859904
473,4699.887,100859904
474,4232.392,100859904
475,4743.24,100859904
476,4314.89,100859904
477,4894.976,100859904
478,4376.726,100859904
479,4831.195,100859904
480,4308.289,100859904
481,4835.588,100859904
482,7050.968,100859904
483,10944.804,100859904
484,10333.255,100859904
485,9398.159,100859904
486,14642.823,100859904
487,8919.14,100859904
488,13637.324,100859904
489,9478.498,100859904
490,14142.207,100859904
491,9296.089,100859904
492,12491.308,100859904
493,9515.353,100859904
494,14448.831,100859904
495,9173.391,100859904
496,13037.455,100859904
497,10851.354,100859904
498,11713.376,100859904
499,4791.472,100859904
500,4027.42,100859904
501,4059.126,100859904
502,3552.839,100859904
503,4321.017,100859904
504,3949.557,100859904
505,4018.668,100859904
506,7259.283,100859904
507,4316.081,100859904
508,3846.346,100859904
509,3973.695,100859904
510,3355.009,100859904
511,4239.832,100859904
512,4483.787,100909056
513,4687.701,100909056
514,4254.604,100909056
515,4950.315,100909056
516,4357.786,100909056
517,4822.318,100909056
518,6819.154,100909056
519,5092.502,100909056
520,4354.837,100909056
521,4805.576,100909056
522,4345.17,100909056
523,5217.408,100909056
524,4453.347,100909056
525,4736.308,100909056
526,4208.354,100909056
527,4884.672,100909056
528,4457.237,100909056
529,4724.279,100909056
530,7001.767,100909056
531,5044.993,100909056
532,4367.692,100909056
533,4800.047,100909056
534,4243.903,100909056
535,4896.128,100909056
536,4439.57,100909056
537,4781.297,100909056
538,4286.792,100909056
539,5096.356,100909056
540,4451.77,100909056
541,6360.799,100909056
542,4217.917,100909056
