idx,og Index,data (B),bandwidth (GB/s)
0,2,218210304,19.495715924915913
1,4,218210304,19.63453629230359
2,6,218210304,19.709048211727684
3,8,218210304,19.529104464588166
4,10,218210304,19.5564922471849
5,12,218210304,19.574512532882416
6,14,218210304,19.559014702449907
7,16,218210304,19.711611957933684
8,18,218210304,19.759133232568324
9,20,218210304,19.624534726231783
10,22,218210304,19.691236144255406
11,24,218210304,19.679187040848166
12,26,218210304,19.693054113090913
13,28,218210304,19.717254548037168
14,30,218210304,19.664318714897423
15,32,218210304,19.656666321955587
16,34,218210304,19.698742987055052
17,36,218210304,19.649982440120812
18,38,218210304,19.60253505764014
19,40,218210304,19.668913011263932
20,42,218210304,19.64602134184633
21,44,218210304,19.614093759749842
22,46,218210304,19.78039755452587
23,48,218210304,19.567938791651645
24,50,218210304,19.753407641383408
25,52,218210304,19.698287756187515
26,54,218210304,19.799980999448948
27,56,218210304,19.70414868326607
28,58,218210304,19.851223289789157
29,60,218210304,19.730261899173176
30,62,218210304,19.88021814001554
31,66,218316800,19.655156425629684
32,68,218316800,19.790510496049997
33,70,218316800,19.666202929507268
34,72,218316800,19.769005671085722
35,74,218316800,19.684644345775332
36,76,218316800,19.739891114350907
37,78,218316800,19.679363732110104
38,80,218316800,19.8475068749546
39,82,218316800,19.4892391167046
40,84,218316800,19.590195318868933
41,86,218316800,19.438208659834643
42,88,218316800,19.547478900554594
43,90,218316800,19.449345258733892
44,92,218316800,19.37071063387924
45,94,218316800,19.31734414478664
46,96,218316800,19.420502291362865
47,98,218316800,19.369500733863934
48,100,218316800,19.249759771256738
49,102,218316800,19.201054842189677
50,104,218316800,19.233913078565415
51,106,218316800,19.320845340083103
52,108,218316800,19.325006368883237
53,110,218316800,19.238740298754735
54,112,218316800,19.057793396070522
55,114,218316800,19.221826848703817
56,116,218316800,19.176065333791133
57,118,218316800,19.203809573739022
58,120,218316800,19.069617527674147
59,122,218316800,19.283275576285323
60,124,218316800,19.171431128091747
61,126,218316800,19.163893543678114
62,130,218423296,18.949050275820685
63,132,218423296,19.226329798143308
64,134,218423296,18.963685723630114
65,136,218423296,19.121088889398575
66,138,218423296,19.014452663719915
67,140,218423296,19.080359755706596
68,142,218423296,19.00233058214617
69,144,218423296,19.289846904053668
70,146,218423296,19.039433661667516
71,148,218423296,19.253554431767796
72,150,218423296,18.92267938393842
73,152,218423296,19.09423731990259
74,154,218423296,19.019590352662572
75,156,218423296,18.995085893591728
76,158,218423296,18.964685166839306
77,160,218423296,19.08126651851725
78,162,218423296,19.08297526720524
79,164,218423296,19.022772376132416
80,166,218423296,19.035237403528917
81,168,218423296,19.023620653720894
82,170,218423296,19.05426064181235
83,172,218423296,19.115466280990837
84,174,218423296,19.085643194033192
85,176,218423296,19.0432581980809
86,178,218423296,19.23592013012804
87,180,218423296,19.169847711628478
88,182,218423296,19.196482285839235
89,184,218423296,19.106316535855424
90,186,218423296,19.20523058106772
91,188,218423296,19.638942386711392
92,190,218423296,19.851702151889494
93,194,218529792,19.60221380632962
94,196,218529792,20.01634906684778
95,198,218529792,19.81470400595974
96,200,218529792,19.916409148123158
97,202,218529792,19.701404568227527
98,204,218529792,19.851279410861647
99,206,218529792,19.706293792056155
100,208,218529792,19.708341164489635
101,210,218529792,19.616065135487688
102,212,218529792,19.912460174813944
103,214,218529792,19.917572724319676
104,216,218529792,19.96269558490854
105,218,218529792,19.958203264990907
106,220,218529792,20.073123446382123
107,222,218529792,19.96969881118359
108,224,218529792,20.03478995584329
109,226,218529792,19.897723437133084
110,228,218529792,19.924776852407437
111,230,218529792,19.923034817252727
112,232,218529792,19.945552141289816
113,234,218529792,19.99981805849932
114,236,218529792,19.96561193475671
115,238,218529792,20.002571330108644
116,240,218529792,19.93431712424511
117,242,218529792,20.05567577633105
118,244,218529792,19.927335053568044
119,246,218529792,20.44799156516036
120,248,218529792,20.533390587217195
121,250,218529792,20.279248665788792
122,252,218529792,20.310490848327433
123,254,218529792,20.525429324519905
124,258,218636288,19.10056912170748
125,260,218636288,18.985131621279095
126,262,218636288,18.934673401649658
127,264,218636288,18.948117900130875
128,266,218636288,18.92392399730885
129,268,218636288,18.946119627747144
130,270,218636288,18.965422127898545
131,272,218636288,19.047161254851495
132,274,218636288,18.83123988990118
133,276,218636288,18.9972199671957
134,278,218636288,18.975060962236956
135,280,218636288,18.933258351831185
136,282,218636288,18.951902143974664
137,284,218636288,18.963000791439445
138,286,218636288,18.635752476456023
139,288,218636288,18.710466194960482
140,290,218636288,18.729289666094886
141,292,218636288,18.648061503483692
142,294,218636288,18.82734803121101
143,296,218636288,18.6598246148124
144,298,218636288,18.80889821205758
145,300,218636288,18.68452426123774
146,302,218636288,18.9174268505523
147,304,218636288,19.700377615002818
148,306,218636288,19.807808090753625
149,308,218636288,19.875513032208985
150,310,218636288,20.0023592645367
151,312,218636288,20.037908803787836
152,314,218636288,19.953290765468648
153,316,218636288,19.809128952515632
154,318,218636288,19.75683142177503
