idx,og Index,data (B),bandwidth (GB/s)
0,0,32768,3.764705882352941
1,1,32768,4.015686274509804
2,2,32768,3.7097248952790673
3,3,32768,3.9233716475095783
4,4,32768,3.764705882352941
5,5,32768,3.9536679536679538
6,6,32768,3.592588531959215
7,7,32768,3.9536679536679538
8,8,32768,3.764705882352941
9,9,32768,3.9844357976653697
10,10,32768,3.618374558303887
11,11,32768,3.9844357976653697
12,12,32768,3.750915750915751
13,13,32768,4.031496062992126
14,14,32768,3.750915750915751
15,15,32768,3.9536679536679538
16,16,32768,3.750915750915751
17,17,32768,4.145748987854251
18,18,32768,3.750915750915751
19,19,32768,3.9844357976653697
20,20,32768,3.7785977859778597
21,21,32768,4.196183890382891
22,22,32768,3.696750902527076
23,23,32768,3.9689922480620154
24,24,32768,3.750915750915751
25,25,32768,3.9689922480620154
26,26,32768,3.56794425087108
27,27,32768,3.9995117783473697
28,28,32768,3.764705882352941
29,29,32768,3.969473046638401
30,30,32768,3.736800091230471
31,31,32768,4.079173409685049
32,32,32768,3.7785977859778597
33,33,32768,3.9844357976653697
34,34,32768,3.7785977859778597
35,35,32768,4.015686274509804
36,36,32768,3.764705882352941
37,37,32768,4.015686274509804
38,38,32768,3.806691449814126
39,39,32768,3.878787878787879
40,40,32768,3.7372262773722627
41,41,32768,3.9536679536679538
42,42,32768,3.764705882352941
43,43,32768,3.9689922480620154
44,44,32768,3.736800091230471
45,45,32768,4.112449799196787
46,46,32768,3.7236363636363636
47,47,32768,4
48,48,32768,3.878787878787879
49,49,32768,3.9844357976653697
50,50,32768,3.7236363636363636
51,51,32768,3.9844357976653697
52,52,32768,3.764705882352941
53,53,32768,3.9536679536679538
54,54,32768,3.7236363636363636
55,55,32768,4.015686274509804
56,56,32768,3.750915750915751
57,57,32768,3.9689922480620154
58,58,32768,3.6441281138790034
59,59,32768,3.9083969465648853
60,60,32768,3.7236363636363636
61,61,32768,4.179058793521235
62,64,32768,3.7785977859778597
63,65,32768,3.9379882225694027
64,66,32768,4.145748987854251
65,67,32768,3.806249274015565
66,68,32768,3.9995117783473697
67,69,32768,3.9384615384615387
68,70,32768,4
69,71,32768,4.096
70,72,32768,3.9536679536679538
71,73,32768,3.9233716475095783
72,74,32768,3.9384615384615387
73,75,32768,3.9233716475095783
74,76,32768,3.9536679536679538
75,77,32768,3.9233716475095783
76,78,32768,3.9384615384615387
77,79,32768,3.9384615384615387
78,80,32768,3.9083969465648853
79,81,32768,3.9536679536679538
80,82,32768,3.750915750915751
