idx,og Index,data (B),bandwidth (GB/s)
0,0,16384,4.374899866488652
1,1,16384,4.491228070175438
2,2,16384,4.612612612612613
3,3,16384,4.876190476190477
4,8,16384,4.571428571428571
5,9,16384,4.530973451327434
6,10,16384,4.571428571428571
7,11,16384,4.452173913043478
8,16,16384,4.613911574204449
9,17,16384,4.571428571428571
10,18,16384,4.572704437622105
11,19,16384,4.3760683760683765
12,24,16384,4.571428571428571
13,25,16384,4.571428571428571
14,26,16384,4.413793103448276
15,27,16384,4.491228070175438
16,32,16384,4.571428571428571
17,33,16384,4.612612612612613
18,34,16384,4.571428571428571
19,35,16384,4.452173913043478
20,40,16384,4.3760683760683765
21,41,16384,4.491228070175438
22,42,16384,4.612612612612613
23,43,16384,4.570153417015342
24,48,16384,4.3760683760683765
25,49,16384,4.413793103448276
26,50,16384,4.530973451327434
27,51,16384,4.530973451327434
28,56,16384,4.452173913043478
29,57,16384,4.571428571428571
30,58,16384,4.530973451327434
31,59,16384,4.530973451327434
32,64,16384,4.654545454545454
33,65,16384,4.530973451327434
34,66,16384,4.571428571428571
35,67,16384,4.452173913043478
36,72,16384,4.571428571428571
37,73,16384,4.530973451327434
38,74,16384,4.530973451327434
39,75,16384,4.530973451327434
40,80,16384,4.530973451327434
41,81,16384,4.491228070175438
42,82,16384,4.491228070175438
43,83,16384,4.491228070175438
44,88,16384,4.452173913043478
45,89,16384,4.491228070175438
46,90,16384,4.491228070175438
47,91,16384,4.571428571428571
48,96,16384,4.491228070175438
49,97,16384,4.530973451327434
50,98,16384,4.571428571428571
51,99,16384,4.452173913043478
52,104,16384,4.452173913043478
53,105,16384,4.572704437622105
54,106,16384,4.571428571428571
55,107,16384,4.571428571428571
56,112,16384,4.571428571428571
57,113,16384,4.489997259523157
58,114,16384,4.491228070175438
59,115,16384,4.530973451327434
60,120,16384,4.338983050847458
61,121,16384,4.530973451327434
62,122,16384,4.338983050847458
63,123,16384,4.571428571428571
64,128,16384,4.530973451327434
65,129,16384,4.530973451327434
66,130,16384,4.571428571428571
67,131,16384,4.530973451327434
68,136,16384,4.571428571428571
69,137,16384,4.452173913043478
70,138,16384,4.491228070175438
71,139,16384,4.491228070175438
72,144,16384,4.413793103448276
73,145,16384,4.530973451327434
74,146,16384,4.571428571428571
75,147,16384,4.452173913043478
76,152,16384,4.492459555799287
77,153,16384,4.612612612612613
78,154,16384,4.571428571428571
79,155,16384,4.491228070175438
80,160,16384,4.571428571428571
81,161,16384,4.491228070175438
82,162,16384,4.3760683760683765
83,163,16384,4.491228070175438
84,168,16384,4.571428571428571
85,169,16384,4.492459555799287
86,170,16384,4.571428571428571
87,171,16384,4.530973451327434
88,176,16384,4.53222683264177
89,177,16384,4.491228070175438
90,178,16384,4.413793103448276
91,179,16384,4.489997259523157
92,184,16384,4.489997259523157
93,185,16384,4.413793103448276
94,186,16384,4.452173913043478
95,187,16384,4.571428571428571
96,192,16384,4.530973451327434
97,193,16384,4.530973451327434
98,194,16384,4.530973451327434
99,195,16384,4.491228070175438
100,200,16384,4.570153417015342
101,201,16384,4.530973451327434
102,202,16384,4.530973451327434
103,203,16384,4.571428571428571
104,208,16384,4.491228070175438
105,209,16384,4.491228070175438
