idx,og Index,data (B),bandwidth (GB/s)
0,0,16785408,11.207561531589398
1,1,16785408,11.852327193951188
2,2,16785408,11.586587358398225
3,3,16785408,11.622529363743437
4,4,16785408,11.322725239855833
5,6,16785408,11.438276715750911
6,8,16785408,11.122255698982158
7,10,16785408,11.330551784796976
8,12,16785408,11.44576435186227
9,14,16785408,11.546036163631248
10,16,16785408,11.21019625547807
11,18,16785408,11.18534299218811
12,20,16785408,12.021829995330329
13,22,16785408,11.596833799337162
14,24,16785408,12.255235636497446
15,26,16785408,12.152454757912478
16,28,16785408,11.81149356699139
17,30,16785408,11.966703643606934
18,32,16793600,12.224373626053662
19,33,16793600,10.623764042313876
20,34,16793600,11.835647332440622
21,35,16793600,11.697143068090083
22,36,16793600,10.90795245957648
23,38,16793600,11.151321337552972
24,40,16793600,11.072511048709265
25,42,16793600,11.320920067439074
26,44,16793600,11.387738191060066
27,50,16793600,11.435380796900375
28,52,16793600,11.84820614704712
29,54,16793600,12.2672354599775
30,56,16793600,11.330941683461518
31,58,16793600,11.219271364656382
32,60,16793600,11.461604348879508
33,62,16793600,11.354476484233913
34,64,16793600,11.320668227896398
35,65,16793600,9.311269044089027
36,66,16793600,10.73524156786587
37,67,16793600,9.49301008621016
38,68,16793600,11.697664521045361
39,70,16793600,11.221190474122292
40,75,16793600,9.3374500492349
41,76,16793600,11.345148944938169
42,78,16793600,11.364803730158998
43,80,16793600,11.990589512089764
44,82,16793600,11.506839928877072
45,86,16793600,10.985816354432831
46,90,16793600,11.007707020480828
47,92,16793600,11.460603153003447
48,94,16793600,10.92702326195745
49,96,16793600,11.516435347260273
50,97,16793600,11.220710635207304
51,98,16793600,11.027135778700849
52,99,16793600,10.354818521224677
53,101,16793600,11.461854675181701
54,104,16793600,11.297767235156442
55,112,16793600,11.069708393179779
56,118,16793600,11.340973399334139
57,122,16793600,11.473138525358467
58,128,16793600,11.01579401010953
59,129,16793600,10.501309724729566
60,130,16793600,11.082097505511815
61,131,16793600,10.437608106151151
62,133,16793600,10.423297499937933
63,134,16793600,10.915666440903589
64,136,16793600,12.135612229265487
65,138,16793600,10.93568279643413
66,142,16793600,11.170317138404418
67,145,16793600,10.916574685476332
68,146,16793600,12.135892862820821
69,148,16793600,11.290224989680297
70,150,16793600,11.251744517541656
71,153,16793600,11.51997453664165
72,154,16793600,11.943389517104047
73,160,16793600,11.131696394541004
74,161,16793600,11.639815577236043
75,162,16793600,11.187693111217405
76,163,16793600,10.671940275364731
77,165,16793600,11.939042180786172
78,166,16793600,11.146828481176916
79,168,16793600,11.24282578292943
80,170,16793600,11.997176731466585
81,172,16793600,11.200116312183502
82,177,16793600,12.116848043718086
83,186,16793600,11.268898535223025
84,192,16793600,10.957602711213248
85,193,16793600,11.811938543258018
86,194,16793600,11.178406802789011
87,195,16793600,10.720555434264973
88,197,16793600,11.459351904103261
89,199,16793600,10.87202248776755
90,201,16793600,10.887133894061527
91,202,16793600,11.774307084383842
92,204,16793600,11.210882973191106
93,206,16793600,11.058271644609738
94,208,16793600,11.030155985122006
95,210,16793600,11.150617933175704
96,212,16793600,11.5394790275933
97,214,16793600,11.044308500913475
98,218,16793600,11.166989502354273
99,221,16793600,9.41467196705403
100,222,16793600,11.731667174301212
101,224,16793600,12.083360915001453
102,225,16793600,11.862132098448011
103,226,16793600,12.078911102735765
104,227,16793600,9.52903519766949
105,230,16793600,11.360867326885389
106,241,16793600,11.349319896384472
107,242,16793600,11.268649004827235
108,245,16793600,12.20333859439537
109,251,16793600,10.159959344674878
110,256,16793600,10.388228620703094
111,257,16793600,11.90896100810898
112,258,16793600,11.932518628573215
113,259,16793600,11.987585265640481
114,262,16793600,10.894139962608481
115,264,16793600,12.230641275501137
116,266,16793600,11.226944238315852
117,268,16793600,12.063917152520164
118,270,16793600,11.07343828095843
