idx,og Index,data (B),bandwidth (GB/s)
0,0,8192,2.115702479338843
1,1,8192,2.015748031496063
2,2,8192,2.392523364485981
3,3,8192,2.3486238532110093
4,4,8192,1.8686131386861313
5,5,8192,2.098360655737705
6,6,8192,2.392523364485981
7,7,8192,2.392523364485981
8,8,8192,2.115156209656597
9,9,8192,1.8962962962962964
10,10,8192,2.371056439942113
11,11,8192,2.4380952380952383
12,12,8192,2.0312422514257378
13,13,8192,1.9252643948296122
14,14,8192,2.3486238532110093
15,15,8192,2.392523364485981
16,16,8192,2.064516129032258
17,17,8192,1.8156028368794326
18,18,8192,2.327272727272727
19,19,8192,2.3703703703703702
20,20,8192,2.048
21,21,8192,1.9692307692307693
22,22,8192,2.392523364485981
23,23,8192,2.4380952380952383
24,24,8192,2.0813008130081303
25,25,8192,2.115702479338843
26,26,8192,2.3703703703703702
27,27,8192,2.3486238532110093
28,28,8192,2.098360655737705
29,29,8192,1.4548037648730243
30,30,8192,2.015748031496063
31,31,8192,2.4150943396226414
32,32,8192,1.9844961240310077
33,33,8192,2.0813008130081303
34,34,8192,2.3063063063063063
35,35,8192,2.392523364485981
36,36,8192,2.098360655737705
37,37,8192,1.9844961240310077
38,38,8192,2.3486238532110093
39,39,8192,2.327272727272727
40,40,8192,2.048
41,41,8192,2.0813008130081303
42,42,8192,2.3703703703703702
43,43,8192,2.226086956521739
44,44,8192,2.0813008130081303
45,45,8192,2.0312422514257378
46,46,8192,2.392523364485981
47,47,8192,2.3703703703703702
48,48,8192,2.0639959687578737
49,49,8192,2.115702479338843
50,50,8192,2.327272727272727
51,51,8192,2.3063063063063063
52,52,8192,2.0813008130081303
53,53,8192,2.098360655737705
54,54,8192,2.3703703703703702
55,55,8192,2.392523364485981
56,56,8192,1.9692307692307693
57,57,8192,2.0317460317460316
58,58,8192,2.392523364485981
59,59,8192,2.4150943396226414
60,60,8192,2.0317460317460316
61,61,8192,2.115702479338843
62,62,8192,2.327272727272727
63,63,8192,2.392523364485981
64,64,8192,1.9995118379301928
65,65,8192,2.115702479338843
66,66,8192,2.226086956521739
67,67,8192,2.349297390306854
68,68,8192,2.0317460317460316
69,69,8192,2.098360655737705
70,70,8192,2.3486238532110093
71,71,8192,2.392523364485981
72,72,8192,1.9692307692307693
73,73,8192,2.098360655737705
74,74,8192,2.3703703703703702
75,75,8192,2.3703703703703702
76,76,8192,2.064516129032258
77,77,8192,1.9393939393939394
78,78,8192,2.115156209656597
79,79,8192,2.3696846977147814
80,80,8192,2.064516129032258
81,81,8192,2.0813008130081303
82,82,8192,2.327272727272727
83,83,8192,2.392523364485981
84,84,8192,2.015748031496063
85,85,8192,1.9844961240310077
86,86,8192,2.347950702206936
87,87,8192,2.392523364485981
88,88,8192,2.0818297331639135
89,89,8192,2.098360655737705
90,90,8192,2.3486238532110093
91,91,8192,2.4380952380952383
92,92,8192,1.9844961240310077
93,93,8192,1.841726618705036
94,94,8192,2.265486725663717
95,95,8192,2.327272727272727
96,96,8192,2.064516129032258
97,97,8192,1.9995118379301928
98,98,8192,2.392523364485981
99,99,8192,2.392523364485981
100,100,8192,2.098360655737705
101,101,8192,2.048
102,102,8192,2.3703703703703702
103,103,8192,2.3486238532110093
104,104,8192,1.9692307692307693
105,105,8192,1.9541984732824427
106,106,8192,2.3703703703703702
107,107,8192,2.3918248175182484
108,108,8192,2.0317460317460316
109,109,8192,2.0813008130081303
110,110,8192,2.392523364485981
111,111,8192,2.4380952380952383
112,112,8192,2.0317460317460316
113,113,8192,1.9844961240310077
114,114,8192,2.327272727272727
115,115,8192,2.2857142857142856
116,116,8192,2.098360655737705
117,117,8192,1.9104477611940298
118,118,8192,2.392523364485981
119,119,8192,2.4380952380952383
120,120,8192,2.0317460317460316
121,121,8192,2.098360655737705
122,122,8192,2.327272727272727
123,123,8192,2.2857142857142856
124,124,8192,2.048
125,125,8192,2.098360655737705
126,126,8192,2.392523364485981
127,127,8192,2.4150943396226414
128,128,8192,2
129,129,8192,2.0813008130081303
130,130,8192,2.392523364485981
131,131,8192,2.392523364485981
132,132,8192,1.9104477611940298
133,133,8192,2.0317460317460316
134,134,8192,2.3486238532110093
135,135,8192,2.4380952380952383
