idx,og Index,data (B),bandwidth (GB/s)
0,0,8192,1.2864321608040201
1,1,8192,1.299492385786802
2,2,8192,1.3333333333333333
3,3,8192,2.392523364485981
4,4,8192,1.3195876288659794
5,5,8192,1.3617021276595744
6,6,8192,1.326210134369435
7,7,8192,1.3264248704663213
8,8,8192,2.4380952380952383
9,9,8192,2.723404255319149
10,10,8192,3.0831765148663908
11,11,8192,3.2807368842611133
12,12,8192,1.2992862807295797
13,13,8192,1.292929292929293
14,14,8192,1.2864321608040201
15,15,8192,1.2864321608040201
16,16,8192,1.3061224489795917
17,17,8192,1.3128205128205128
18,18,8192,1.3128205128205128
19,19,8192,1.3195876288659794
20,20,8192,1.3128205128205128
21,21,8192,1.3835500760006756
22,22,8192,1.3128205128205128
23,23,8192,1.3617021276595744
24,24,8192,2.265486725663717
25,25,8192,2.6122448979591835
26,26,8192,3.1604938271604937
27,27,8192,3.282051282051282
28,28,8192,1.3128205128205128
29,29,8192,1.3333333333333333
30,30,8192,1.28
31,31,8192,1.3544973544973544
32,32,8192,1.292929292929293
33,33,8192,1.3333333333333333
34,34,8192,1.292929292929293
35,35,8192,1.3333333333333333
36,36,8192,1.3061224489795917
37,37,8192,1.3195876288659794
38,38,8192,1.3128205128205128
39,39,8192,1.299492385786802
40,40,8192,2.752688172043011
41,41,8192,2.752688172043011
42,42,8192,3.1604938271604937
43,43,8192,3.1219512195121952
44,44,8192,1.299492385786802
45,45,8192,1.3061224489795917
46,46,8192,1.3193751006603318
47,47,8192,1.3128205128205128
48,48,8192,1.292929292929293
49,49,8192,1.3061224489795917
50,50,8192,1.3128205128205128
51,51,8192,1.3063307287513952
52,52,8192,1.3333333333333333
53,53,8192,1.3198002255517964
54,54,8192,1.3264248704663213
55,55,8192,1.3264248704663213
56,56,8192,2.723404255319149
57,57,8192,2.4380952380952383
58,58,8192,3.2
59,59,8192,3.282051282051282
60,60,8192,2.585858585858586
61,61,8192,1.3128205128205128
62,62,8192,1.2736318407960199
63,63,8192,1.292929292929293
64,64,8192,1.3264248704663213
65,65,8192,1.3059142356129443
66,66,8192,1.3128205128205128
67,67,8192,1.2864321608040201
68,68,8192,1.3333333333333333
69,69,8192,1.3128205128205128
70,70,8192,1.3195876288659794
71,71,8192,1.28
72,72,8192,2.723404255319149
73,73,8192,2.8131868131868134
74,74,8192,3.2
75,75,8192,3.1604938271604937
76,76,8192,1.299492385786802
77,77,8192,1.2862301774218872
78,78,8192,1.3128205128205128
79,79,8192,1.3195876288659794
80,80,8192,1.299492385786802
81,81,8192,1.3061224489795917
82,82,8192,1.3195876288659794
83,83,8192,1.3195876288659794
84,84,8192,1.3061224489795917
85,85,8192,1.3195876288659794
86,86,8192,1.3061224489795917
87,87,8192,1.3061224489795917
88,88,8192,2.723404255319149
89,89,8192,2.752688172043011
90,90,8192,3.1604938271604937
91,91,8192,3.2
92,92,8192,1.299492385786802
93,93,8192,1.28
94,94,8192,1.2736318407960199
95,95,8192,1.3195876288659794
96,96,8192,1.3128205128205128
97,97,8192,1.3061224489795917
98,98,8192,1.3544973544973544
99,99,8192,1.3128205128205128
100,100,8192,1.3061224489795917
101,101,8192,1.2864321608040201
102,102,8192,1.3195876288659794
103,103,8192,1.3061224489795917
104,104,8192,2.327272727272727
105,105,8192,2.782608695652174
106,106,8192,3.1219512195121952
107,107,8192,3.324675324675325
108,108,8192,1.2927252643206564
109,109,8192,1.3128205128205128
110,110,8192,1.28
111,111,8192,1.3264248704663213
112,112,8192,1.3195876288659794
113,113,8192,1.3128205128205128
114,114,8192,1.3689839572192513
115,115,8192,1.3264248704663213
116,116,8192,1.3264248704663213
117,117,8192,1.2927252643206564
118,118,8192,1.3195876288659794
119,119,8192,1.326210134369435
120,120,8192,2.752688172043011
121,121,8192,2.6666666666666665
122,122,8192,2.752688172043011
123,123,8192,3.1219512195121952
124,124,8192,1.3128205128205128
125,125,8192,1.3128205128205128
126,126,8192,1.3333333333333333
127,127,8192,1.3061224489795917
128,128,8192,1.3193751006603318
129,129,8192,1.3195876288659794
130,130,8192,1.3061224489795917
131,131,8192,1.3195876288659794
132,132,8192,1.3061224489795917
133,133,8192,1.3195876288659794
134,134,8192,1.3061224489795917
135,135,8192,1.3333333333333333
136,136,8192,2.694736842105263
137,137,8192,2.8122210779265364
138,138,8192,3.1617136240833656
139,139,8192,3.2
140,140,8192,1.3128205128205128
141,141,8192,1.3264248704663213
142,142,8192,1.3193751006603318
143,143,8192,1.3264248704663213
144,144,8192,1.3193751006603318
145,145,8192,1.3128205128205128
146,146,8192,1.3264248704663213
147,147,8192,1.3264248704663213
148,148,8192,1.3264248704663213
149,149,8192,1.3264248704663213
150,150,8192,1.3061224489795917
151,151,8192,1.3333333333333333
152,152,8192,2.723404255319149
153,153,8192,2.694736842105263
154,154,8192,3.2
155,155,8192,3.23922499011467
156,156,8192,1.3128205128205128
157,157,8192,1.3128205128205128
158,158,8192,1.3128205128205128
159,159,8192,1.299492385786802
160,160,8192,1.3333333333333333
161,161,8192,1.3128205128205128
162,162,8192,1.3264248704663213
163,163,8192,1.3195876288659794
164,164,8192,1.3264248704663213
165,165,8192,1.3264248704663213
166,166,8192,1.3061224489795917
167,167,8192,1.3264248704663213
168,168,8192,2.723404255319149
169,169,8192,2.7536134453781513
170,170,8192,3.120761904761905
171,171,8192,3.324675324675325
172,172,8192,1.3059142356129443
173,173,8192,1.3128205128205128
174,174,8192,1.3128205128205128
175,175,8192,1.3195876288659794
176,176,8192,1.3264248704663213
177,177,8192,1.3061224489795917
178,178,8192,1.3128205128205128
179,179,8192,1.3195876288659794
180,180,8192,1.28
181,181,8192,1.3128205128205128
182,182,8192,1.3128205128205128
183,183,8192,1.3333333333333333
184,184,8192,2.723404255319149
185,185,8192,2.723404255319149
186,186,8192,3.0464856824098177
187,187,8192,3.0843373493975905
188,188,8192,1.3195876288659794
189,189,8192,1.326210134369435
190,190,8192,1.3061224489795917
191,191,8192,1.3333333333333333
192,192,8192,1.3061224489795917
193,193,8192,1.3264248704663213
194,194,8192,1.3128205128205128
195,195,8192,1.3128205128205128
196,196,8192,1.3195876288659794
197,197,8192,1.2864321608040201
198,198,8192,1.3061224489795917
199,199,8192,1.3061224489795917
200,200,8192,2.723404255319149
201,201,8192,2.782608695652174
202,202,8192,3.1604938271604937
203,203,8192,3.1604938271604937
204,204,8192,1.3835500760006756
205,205,8192,1.3195876288659794
206,206,8192,1.3128205128205128
207,207,8192,1.28
208,208,8192,1.3059142356129443
209,209,8192,2.56
210,210,8192,1.28
211,211,8192,1.3128205128205128
212,212,8192,1.3059142356129443
213,213,8192,1.3061224489795917
214,214,8192,1.312610158628425
215,215,8192,1.3061224489795917
216,216,8192,2.694736842105263
217,217,8192,2.7243099434652476
218,218,8192,3.1604938271604937
219,219,8192,3.282051282051282
220,220,8192,1.2864321608040201
221,221,8192,1.3061224489795917
222,222,8192,1.3195876288659794
223,223,8192,1.3195876288659794
224,224,8192,1.3128205128205128
225,225,8192,1.3128205128205128
226,226,8192,1.3195876288659794
227,227,8192,1.3264248704663213
